🖼️  Generating 10 example images (v31 - full feature set)...
⏱️  Timeout: 180 seconds

📁 Found 5062 source images

📸 Generating images...

   1/10:   4.5s (4 photos, global warp applied)
   2/10:   9.5s (4 photos, global warp applied)
   3/10:   9.4s (5 photos, global warp applied)
   4/10:   4.3s (4 photos, global warp applied)
   5/10:   9.7s (4 photos, global warp applied)
   6/10:   9.8s (5 photos, global warp applied)
   7/10:   5.1s (5 photos, global warp applied)
   8/10:   9.6s (4 photos, global warp applied)
   9/10:  11.5s (5 photos, global warp applied)
  10/10:  11.8s (5 photos, global warp applied)

============================================================
📊 VERIFICATION RESULTS
============================================================

  Total photos: 45
  Photos with rotation (±15°): 4/45
  Photos in bounds: 45/45
  Valid trapezoids: 45/45
  Subtle global perspective: 10/10

✅ Done! 10 images in 85.4s
📂 /Users/krys.petrie/dev/photo-pose-detector/data_generator/../data
   - example_01.jpg (199 KB)
   - example_02.jpg (176 KB)
   - example_03.jpg (188 KB)
   - example_04.jpg (222 KB)
   - example_05.jpg (161 KB)
   - example_06.jpg (163 KB)
   - example_07.jpg (176 KB)
   - example_08.jpg (188 KB)
   - example_09.jpg (210 KB)
   - example_10.jpg (206 KB)
============================================================
BATCH DATASET GENERATOR (v31)
============================================================
Total: 5000 (4000 train, 1000 val)
Started: 2026-04-15 14:42:55
============================================================
Source images: 5062
  [    1/5000] 4.5s/img | ETA: 6.2h | Photos: 4
  [  340/5000] 4.9s/img | ETA: 10.7h | Photos: 1590
  [  350/5000] 10.3s/img | ETA: 10.7h | Photos: 1635
  [  360/5000] 12.0s/img | ETA: 10.7h | Photos: 1685
  [  370/5000] 5.5s/img | ETA: 10.7h | Photos: 1732
  [  380/5000] 4.5s/img | ETA: 10.6h | Photos: 1780
  [  390/5000] 4.4s/img | ETA: 10.6h | Photos: 1829
  [  400/5000] 5.5s/img | ETA: 10.6h | Photos: 1874
  ✓ Checkpoint at 400
  [  410/5000] 9.7s/img | ETA: 10.5h | Photos: 1921
  [  420/5000] 4.5s/img | ETA: 10.5h | Photos: 1968
  [  430/5000] 12.0s/img | ETA: 10.5h | Photos: 2014
  [  440/5000] 4.6s/img | ETA: 10.4h | Photos: 2061
  [  450/5000] 12.0s/img | ETA: 10.5h | Photos: 2111
  [  460/5000] 5.6s/img | ETA: 10.5h | Photos: 2158
  [  470/5000] 12.7s/img | ETA: 10.4h | Photos: 2204
  [  480/5000] 12.3s/img | ETA: 10.4h | Photos: 2249
  [  490/5000] 4.5s/img | ETA: 10.4h | Photos: 2296
  [  500/5000] 4.6s/img | ETA: 10.2h | Photos: 2340
  ✓ Checkpoint at 500
  [  510/5000] 4.9s/img | ETA: 10.3h | Photos: 2389
  [  520/5000] 5.5s/img | ETA: 10.2h | Photos: 2435
  [  530/5000] 4.4s/img | ETA: 10.2h | Photos: 2480
  [  540/5000] 4.6s/img | ETA: 10.2h | Photos: 2526
  [  550/5000] 10.4s/img | ETA: 10.2h | Photos: 2575
  [  560/5000] 10.3s/img | ETA: 10.2h | Photos: 2621
  [  570/5000] 10.5s/img | ETA: 10.1h | Photos: 2666
  [  580/5000] 9.9s/img | ETA: 10.1h | Photos: 2713
  [  590/5000] 4.6s/img | ETA: 10.1h | Photos: 2759
  [  600/5000] 4.7s/img | ETA: 10.1h | Photos: 2808
  ✓ Checkpoint at 600
  [  610/5000] 5.5s/img | ETA: 10.0h | Photos: 2855
  [  620/5000] 12.8s/img | ETA: 10.0h | Photos: 2903
  [  630/5000] 10.2s/img | ETA: 10.0h | Photos: 2947
  [  640/5000] 12.5s/img | ETA: 10.0h | Photos: 2991
  [  650/5000] 12.0s/img | ETA: 10.0h | Photos: 3040
  [  660/5000] 4.7s/img | ETA: 10.0h | Photos: 3085
  [  670/5000] 12.0s/img | ETA: 9.9h | Photos: 3129
  [  680/5000] 4.4s/img | ETA: 9.9h | Photos: 3176
  [  690/5000] 11.7s/img | ETA: 9.9h | Photos: 3222
  [  700/5000] 9.8s/img | ETA: 9.9h | Photos: 3270
  ✓ Checkpoint at 700
  [  710/5000] 9.9s/img | ETA: 9.9h | Photos: 3316
  [  720/5000] 5.2s/img | ETA: 9.8h | Photos: 3364
  [  730/5000] 6.0s/img | ETA: 9.8h | Photos: 3412
  [  740/5000] 4.6s/img | ETA: 9.8h | Photos: 3458
  [  750/5000] 13.8s/img | ETA: 9.8h | Photos: 3505
  [  760/5000] 10.1s/img | ETA: 9.8h | Photos: 3552
  [  770/5000] 13.2s/img | ETA: 9.8h | Photos: 3601
  [  780/5000] 8.0s/img | ETA: 9.8h | Photos: 3648
  [  790/5000] 6.6s/img | ETA: 9.8h | Photos: 3695
  [  800/5000] 10.7s/img | ETA: 9.7h | Photos: 3740
  ✓ Checkpoint at 800
  [  810/5000] 11.2s/img | ETA: 9.7h | Photos: 3788
  [  820/5000] 5.4s/img | ETA: 9.7h | Photos: 3836
  [  830/5000] 5.7s/img | ETA: 9.7h | Photos: 3881
  [  840/5000] 13.0s/img | ETA: 9.7h | Photos: 3928
  [  850/5000] 17.1s/img | ETA: 9.7h | Photos: 3975
  [  860/5000] 5.6s/img | ETA: 9.7h | Photos: 4020
  [  870/5000] 4.9s/img | ETA: 9.7h | Photos: 4067
  [  880/5000] 12.5s/img | ETA: 9.7h | Photos: 4116
  [  890/5000] 14.6s/img | ETA: 9.7h | Photos: 4163
  [  900/5000] 15.4s/img | ETA: 9.7h | Photos: 4209
  ✓ Checkpoint at 900
  [  910/5000] 6.6s/img | ETA: 9.7h | Photos: 4254
  [  920/5000] 4.7s/img | ETA: 9.6h | Photos: 4301
  [  930/5000] 5.9s/img | ETA: 9.6h | Photos: 4347
  [  940/5000] 5.6s/img | ETA: 9.6h | Photos: 4392
  [  950/5000] 13.0s/img | ETA: 9.6h | Photos: 4439
  [  960/5000] 7.5s/img | ETA: 9.6h | Photos: 4487
  [  970/5000] 7.1s/img | ETA: 9.6h | Photos: 4537
  [  980/5000] 4.7s/img | ETA: 9.6h | Photos: 4583
  [  990/5000] 15.8s/img | ETA: 9.6h | Photos: 4632
  [ 1000/5000] 13.2s/img | ETA: 9.6h | Photos: 4680
  ✓ Checkpoint at 1000
  [ 1010/5000] 14.4s/img | ETA: 9.6h | Photos: 4728
  [ 1020/5000] 6.3s/img | ETA: 9.5h | Photos: 4778
  [ 1030/5000] 13.4s/img | ETA: 9.5h | Photos: 4825
  [ 1040/5000] 17.6s/img | ETA: 9.5h | Photos: 4873
  [ 1050/5000] 7.5s/img | ETA: 9.5h | Photos: 4917
  [ 1060/5000] 9.5s/img | ETA: 9.5h | Photos: 4965
  [ 1070/5000] 6.1s/img | ETA: 9.5h | Photos: 5013
  [ 1080/5000] 4.7s/img | ETA: 9.5h | Photos: 5058
  [ 1090/5000] 10.9s/img | ETA: 9.5h | Photos: 5105
  [ 1100/5000] 10.9s/img | ETA: 9.4h | Photos: 5153
  ✓ Checkpoint at 1100
  [ 1110/5000] 11.8s/img | ETA: 9.4h | Photos: 5201
  [ 1120/5000] 5.0s/img | ETA: 9.4h | Photos: 5247
  [ 1130/5000] 6.0s/img | ETA: 9.4h | Photos: 5291
  [ 1140/5000] 15.2s/img | ETA: 9.4h | Photos: 5337
  [ 1150/5000] 12.9s/img | ETA: 9.4h | Photos: 5383
  [ 1160/5000] 7.4s/img | ETA: 9.4h | Photos: 5430
  [ 1170/5000] 14.5s/img | ETA: 9.4h | Photos: 5476
  [ 1180/5000] 12.7s/img | ETA: 9.3h | Photos: 5521
  [ 1190/5000] 6.3s/img | ETA: 9.3h | Photos: 5570
  [ 1200/5000] 7.0s/img | ETA: 9.3h | Photos: 5618
  ✓ Checkpoint at 1200
  [ 1210/5000] 15.4s/img | ETA: 9.3h | Photos: 5665
  [ 1220/5000] 6.8s/img | ETA: 9.3h | Photos: 5714
  [ 1230/5000] 7.7s/img | ETA: 9.3h | Photos: 5761
  [ 1240/5000] 5.2s/img | ETA: 9.2h | Photos: 5808
  [ 1250/5000] 4.4s/img | ETA: 9.2h | Photos: 5855
  [ 1260/5000] 4.4s/img | ETA: 9.1h | Photos: 5902
  [ 1270/5000] 15.0s/img | ETA: 9.1h | Photos: 5949
  [ 1280/5000] 5.1s/img | ETA: 9.1h | Photos: 5993
  [ 1290/5000] 4.7s/img | ETA: 9.1h | Photos: 6036
  [ 1300/5000] 5.4s/img | ETA: 9.1h | Photos: 6085
  ✓ Checkpoint at 1300
  [ 1310/5000] 6.4s/img | ETA: 9.0h | Photos: 6131
  [ 1320/5000] 10.2s/img | ETA: 9.0h | Photos: 6178
  [ 1330/5000] 7.5s/img | ETA: 9.0h | Photos: 6223
  [ 1340/5000] 11.9s/img | ETA: 9.0h | Photos: 6269
  [ 1350/5000] 11.6s/img | ETA: 8.9h | Photos: 6318
  [ 1360/5000] 11.6s/img | ETA: 8.9h | Photos: 6367
  [ 1370/5000] 10.1s/img | ETA: 8.9h | Photos: 6413
  [ 1380/5000] 5.3s/img | ETA: 8.8h | Photos: 6459
  [ 1390/5000] 4.4s/img | ETA: 8.8h | Photos: 6504
  [ 1400/5000] 4.2s/img | ETA: 8.8h | Photos: 6548
  ✓ Checkpoint at 1400
  [ 1410/5000] 9.5s/img | ETA: 8.7h | Photos: 6595
  [ 1420/5000] 5.3s/img | ETA: 8.7h | Photos: 6641
  [ 1430/5000] 9.9s/img | ETA: 8.7h | Photos: 6686
  [ 1440/5000] 12.0s/img | ETA: 8.6h | Photos: 6733
  [ 1450/5000] 4.7s/img | ETA: 8.6h | Photos: 6779
  [ 1460/5000] 4.6s/img | ETA: 8.6h | Photos: 6824
  [ 1470/5000] 9.9s/img | ETA: 8.5h | Photos: 6869
  [ 1480/5000] 5.7s/img | ETA: 8.5h | Photos: 6915
  [ 1490/5000] 4.7s/img | ETA: 8.5h | Photos: 6960
  [ 1500/5000] 12.6s/img | ETA: 8.5h | Photos: 7009
  ✓ Checkpoint at 1500
  [ 1510/5000] 12.5s/img | ETA: 8.4h | Photos: 7054
  [ 1520/5000] 5.6s/img | ETA: 8.4h | Photos: 7101
  [ 1530/5000] 12.9s/img | ETA: 8.4h | Photos: 7151
  [ 1540/5000] 5.7s/img | ETA: 8.4h | Photos: 7199
  [ 1550/5000] 4.8s/img | ETA: 8.3h | Photos: 7246
  [ 1560/5000] 4.9s/img | ETA: 8.3h | Photos: 7293
  [ 1570/5000] 10.4s/img | ETA: 8.3h | Photos: 7343
  [ 1580/5000] 12.7s/img | ETA: 8.3h | Photos: 7390
  [ 1590/5000] 4.7s/img | ETA: 8.2h | Photos: 7438
  [ 1600/5000] 10.3s/img | ETA: 8.2h | Photos: 7484
  ✓ Checkpoint at 1600
  [ 1610/5000] 13.1s/img | ETA: 8.2h | Photos: 7534
  [ 1620/5000] 12.3s/img | ETA: 8.2h | Photos: 7580
  [ 1630/5000] 12.0s/img | ETA: 8.1h | Photos: 7625
  [ 1640/5000] 9.4s/img | ETA: 8.1h | Photos: 7673
  [ 1650/5000] 9.9s/img | ETA: 8.1h | Photos: 7721
  [ 1660/5000] 11.6s/img | ETA: 8.0h | Photos: 7767
  [ 1670/5000] 4.3s/img | ETA: 8.0h | Photos: 7813
  [ 1680/5000] 11.7s/img | ETA: 8.0h | Photos: 7861
  [ 1690/5000] 12.0s/img | ETA: 8.0h | Photos: 7909
  [ 1700/5000] 9.8s/img | ETA: 7.9h | Photos: 7955
  ✓ Checkpoint at 1700
  [ 1710/5000] 5.4s/img | ETA: 7.9h | Photos: 8003
  [ 1720/5000] 5.3s/img | ETA: 7.9h | Photos: 8049
  [ 1730/5000] 5.3s/img | ETA: 7.9h | Photos: 8095
  [ 1740/5000] 9.4s/img | ETA: 7.8h | Photos: 8141
  [ 1750/5000] 5.1s/img | ETA: 7.8h | Photos: 8188
  [ 1760/5000] 9.5s/img | ETA: 7.8h | Photos: 8237
  [ 1770/5000] 5.3s/img | ETA: 7.7h | Photos: 8284
  [ 1780/5000] 5.4s/img | ETA: 7.7h | Photos: 8328
  [ 1790/5000] 5.2s/img | ETA: 7.7h | Photos: 8377
  [ 1800/5000] 5.2s/img | ETA: 7.6h | Photos: 8426
  ✓ Checkpoint at 1800
  [ 1810/5000] 9.5s/img | ETA: 7.6h | Photos: 8471
  [ 1820/5000] 4.4s/img | ETA: 7.6h | Photos: 8518
  [ 1830/5000] 11.6s/img | ETA: 7.6h | Photos: 8566
  [ 1840/5000] 11.4s/img | ETA: 7.5h | Photos: 8612
  [ 1850/5000] 11.5s/img | ETA: 7.5h | Photos: 8660
  [ 1860/5000] 5.1s/img | ETA: 7.5h | Photos: 8707
  [ 1870/5000] 9.4s/img | ETA: 7.5h | Photos: 8751
  [ 1880/5000] 4.3s/img | ETA: 7.4h | Photos: 8797
  [ 1890/5000] 5.2s/img | ETA: 7.4h | Photos: 8844
  [ 1900/5000] 9.9s/img | ETA: 7.4h | Photos: 8891
  ✓ Checkpoint at 1900
  [ 1910/5000] 11.2s/img | ETA: 7.4h | Photos: 8940
  [ 1920/5000] 9.7s/img | ETA: 7.3h | Photos: 8988
  [ 1930/5000] 12.3s/img | ETA: 7.3h | Photos: 9036
  [ 1940/5000] 10.0s/img | ETA: 7.3h | Photos: 9080
  [ 1950/5000] 4.6s/img | ETA: 7.3h | Photos: 9127
  [ 1960/5000] 4.3s/img | ETA: 7.2h | Photos: 9173
  [ 1970/5000] 8.8s/img | ETA: 7.2h | Photos: 9220
  [ 1980/5000] 12.0s/img | ETA: 7.2h | Photos: 9266
  [ 1990/5000] 5.2s/img | ETA: 7.1h | Photos: 9312
  [ 2000/5000] 5.1s/img | ETA: 7.1h | Photos: 9359
  ✓ Checkpoint at 2000
  [ 2010/5000] 5.3s/img | ETA: 7.1h | Photos: 9408
  [ 2020/5000] 11.6s/img | ETA: 7.1h | Photos: 9457
  [ 2030/5000] 5.2s/img | ETA: 7.0h | Photos: 9503
  [ 2040/5000] 4.3s/img | ETA: 7.0h | Photos: 9549
  [ 2050/5000] 9.7s/img | ETA: 7.0h | Photos: 9597
  [ 2060/5000] 5.3s/img | ETA: 7.0h | Photos: 9645
  [ 2070/5000] 11.2s/img | ETA: 6.9h | Photos: 9693
  [ 2080/5000] 5.2s/img | ETA: 6.9h | Photos: 9741
  [ 2090/5000] 5.2s/img | ETA: 6.9h | Photos: 9789
  [ 2100/5000] 5.2s/img | ETA: 6.9h | Photos: 9837
  ✓ Checkpoint at 2100
  [ 2110/5000] 5.2s/img | ETA: 6.8h | Photos: 9881
  [ 2120/5000] 10.1s/img | ETA: 6.8h | Photos: 9926
  [ 2130/5000] 4.4s/img | ETA: 6.8h | Photos: 9972
  [ 2140/5000] 5.2s/img | ETA: 6.7h | Photos: 10017
  [ 2150/5000] 5.2s/img | ETA: 6.7h | Photos: 10064
  [ 2160/5000] 4.6s/img | ETA: 6.7h | Photos: 10111
  [ 2170/5000] 5.6s/img | ETA: 6.7h | Photos: 10158
  [ 2180/5000] 9.9s/img | ETA: 6.6h | Photos: 10205
  [ 2190/5000] 9.6s/img | ETA: 6.6h | Photos: 10252
  [ 2200/5000] 9.7s/img | ETA: 6.6h | Photos: 10302
  ✓ Checkpoint at 2200
  [ 2210/5000] 11.4s/img | ETA: 6.6h | Photos: 10350
  [ 2220/5000] 9.6s/img | ETA: 6.5h | Photos: 10397
  [ 2230/5000] 4.2s/img | ETA: 6.5h | Photos: 10444
  [ 2240/5000] 9.4s/img | ETA: 6.5h | Photos: 10491
  [ 2250/5000] 5.2s/img | ETA: 6.5h | Photos: 10538
  [ 2260/5000] 5.1s/img | ETA: 6.4h | Photos: 10585
  [ 2270/5000] 5.2s/img | ETA: 6.4h | Photos: 10631
  [ 2280/5000] 9.7s/img | ETA: 6.4h | Photos: 10677
  [ 2290/5000] 12.2s/img | ETA: 6.4h | Photos: 10724
  [ 2300/5000] 5.2s/img | ETA: 6.3h | Photos: 10772
  ✓ Checkpoint at 2300
  [ 2310/5000] 4.2s/img | ETA: 6.3h | Photos: 10815
  [ 2320/5000] 5.1s/img | ETA: 6.3h | Photos: 10862
  [ 2330/5000] 4.2s/img | ETA: 6.2h | Photos: 10907
  [ 2340/5000] 5.2s/img | ETA: 6.2h | Photos: 10952
  [ 2350/5000] 4.2s/img | ETA: 6.2h | Photos: 10997
  [ 2360/5000] 5.2s/img | ETA: 6.2h | Photos: 11045
  [ 2370/5000] 5.4s/img | ETA: 6.1h | Photos: 11093
  [ 2380/5000] 11.2s/img | ETA: 6.1h | Photos: 11143
  [ 2390/5000] 12.8s/img | ETA: 6.1h | Photos: 11192
  [ 2400/5000] 10.0s/img | ETA: 6.1h | Photos: 11238
  ✓ Checkpoint at 2400
  [ 2410/5000] 10.3s/img | ETA: 6.0h | Photos: 11282
  [ 2420/5000] 5.5s/img | ETA: 6.0h | Photos: 11329
  [ 2430/5000] 4.5s/img | ETA: 6.0h | Photos: 11377
  [ 2440/5000] 12.3s/img | ETA: 6.0h | Photos: 11426
  [ 2450/5000] 10.1s/img | ETA: 5.9h | Photos: 11472
  [ 2460/5000] 10.1s/img | ETA: 5.9h | Photos: 11521
  [ 2470/5000] 12.4s/img | ETA: 5.9h | Photos: 11569
  [ 2480/5000] 4.9s/img | ETA: 5.9h | Photos: 11616
  [ 2490/5000] 5.6s/img | ETA: 5.8h | Photos: 11661
  [ 2500/5000] 4.7s/img | ETA: 5.8h | Photos: 11708
  ✓ Checkpoint at 2500
  [ 2510/5000] 4.5s/img | ETA: 5.8h | Photos: 11755
  [ 2520/5000] 12.1s/img | ETA: 5.8h | Photos: 11802
  [ 2530/5000] 9.6s/img | ETA: 5.7h | Photos: 11850
  [ 2540/5000] 4.3s/img | ETA: 5.7h | Photos: 11894
  [ 2550/5000] 11.9s/img | ETA: 5.7h | Photos: 11942
  [ 2560/5000] 4.2s/img | ETA: 5.7h | Photos: 11987
  [ 2570/5000] 4.3s/img | ETA: 5.6h | Photos: 12032
  [ 2580/5000] 4.3s/img | ETA: 5.6h | Photos: 12076
  [ 2590/5000] 9.6s/img | ETA: 5.6h | Photos: 12122
  [ 2600/5000] 5.2s/img | ETA: 5.6h | Photos: 12169
  ✓ Checkpoint at 2600
  [ 2610/5000] 9.3s/img | ETA: 5.5h | Photos: 12215
  [ 2620/5000] 5.4s/img | ETA: 5.5h | Photos: 12263
  [ 2630/5000] 9.5s/img | ETA: 5.5h | Photos: 12308
  [ 2640/5000] 4.3s/img | ETA: 5.5h | Photos: 12354
  [ 2650/5000] 9.6s/img | ETA: 5.4h | Photos: 12399
  [ 2660/5000] 4.3s/img | ETA: 5.4h | Photos: 12447
  [ 2670/5000] 9.3s/img | ETA: 5.4h | Photos: 12494
  [ 2680/5000] 4.3s/img | ETA: 5.4h | Photos: 12541
  [ 2690/5000] 9.5s/img | ETA: 5.3h | Photos: 12588
  [ 2700/5000] 11.6s/img | ETA: 5.3h | Photos: 12635
  ✓ Checkpoint at 2700
  [ 2710/5000] 11.6s/img | ETA: 5.3h | Photos: 12685
  [ 2720/5000] 12.1s/img | ETA: 5.3h | Photos: 12731
  [ 2730/5000] 9.6s/img | ETA: 5.2h | Photos: 12776
  [ 2740/5000] 11.4s/img | ETA: 5.2h | Photos: 12821
  [ 2750/5000] 11.7s/img | ETA: 5.2h | Photos: 12867
  [ 2760/5000] 5.2s/img | ETA: 5.2h | Photos: 12914
  [ 2770/5000] 4.2s/img | ETA: 5.2h | Photos: 12960
  [ 2780/5000] 5.2s/img | ETA: 5.1h | Photos: 13007
  [ 2790/5000] 11.7s/img | ETA: 5.1h | Photos: 13053
  [ 2800/5000] 11.4s/img | ETA: 5.1h | Photos: 13100
  ✓ Checkpoint at 2800
  [ 2810/5000] 11.5s/img | ETA: 5.1h | Photos: 13146
  [ 2820/5000] 11.6s/img | ETA: 5.0h | Photos: 13193
  [ 2830/5000] 4.2s/img | ETA: 5.0h | Photos: 13237
  [ 2840/5000] 4.3s/img | ETA: 5.0h | Photos: 13283
  [ 2850/5000] 11.6s/img | ETA: 5.0h | Photos: 13330
  [ 2860/5000] 5.2s/img | ETA: 4.9h | Photos: 13376
  [ 2870/5000] 4.4s/img | ETA: 4.9h | Photos: 13420
  [ 2880/5000] 11.7s/img | ETA: 4.9h | Photos: 13466
  [ 2890/5000] 11.5s/img | ETA: 4.9h | Photos: 13513
  [ 2900/5000] 5.1s/img | ETA: 4.8h | Photos: 13561
  ✓ Checkpoint at 2900
  [ 2910/5000] 9.7s/img | ETA: 4.8h | Photos: 13607
  [ 2920/5000] 12.1s/img | ETA: 4.8h | Photos: 13653
  [ 2930/5000] 11.5s/img | ETA: 4.8h | Photos: 13699
  [ 2940/5000] 5.2s/img | ETA: 4.7h | Photos: 13747
  [ 2950/5000] 4.3s/img | ETA: 4.7h | Photos: 13795
  [ 2960/5000] 4.3s/img | ETA: 4.7h | Photos: 13842
  [ 2970/5000] 4.2s/img | ETA: 4.7h | Photos: 13888
  [ 2980/5000] 4.5s/img | ETA: 4.6h | Photos: 13937
  [ 2990/5000] 9.4s/img | ETA: 4.6h | Photos: 13985
  [ 3000/5000] 9.2s/img | ETA: 4.6h | Photos: 14031
  ✓ Checkpoint at 3000
  [ 3010/5000] 12.0s/img | ETA: 4.6h | Photos: 14078
  [ 3020/5000] 5.3s/img | ETA: 4.5h | Photos: 14126
  [ 3030/5000] 5.2s/img | ETA: 4.5h | Photos: 14171
  [ 3040/5000] 4.3s/img | ETA: 4.5h | Photos: 14217
  [ 3050/5000] 5.2s/img | ETA: 4.5h | Photos: 14263
  [ 3060/5000] 5.2s/img | ETA: 4.4h | Photos: 14309
  [ 3070/5000] 11.8s/img | ETA: 4.4h | Photos: 14356
  [ 3080/5000] 5.8s/img | ETA: 4.4h | Photos: 14406
  [ 3090/5000] 5.1s/img | ETA: 4.4h | Photos: 14454
  [ 3100/5000] 13.3s/img | ETA: 4.3h | Photos: 14501
  ✓ Checkpoint at 3100
  [ 3110/5000] 10.1s/img | ETA: 4.3h | Photos: 14546
  [ 3120/5000] 4.5s/img | ETA: 4.3h | Photos: 14596
  [ 3130/5000] 10.0s/img | ETA: 4.3h | Photos: 14642
  [ 3140/5000] 10.1s/img | ETA: 4.2h | Photos: 14688
  [ 3150/5000] 5.6s/img | ETA: 4.2h | Photos: 14736
  [ 3160/5000] 4.6s/img | ETA: 4.2h | Photos: 14784
  [ 3170/5000] 9.9s/img | ETA: 4.2h | Photos: 14832
  [ 3180/5000] 12.4s/img | ETA: 4.2h | Photos: 14879
  [ 3190/5000] 5.4s/img | ETA: 4.1h | Photos: 14926
  [ 3200/5000] 4.2s/img | ETA: 4.1h | Photos: 14971
  ✓ Checkpoint at 3200
  [ 3210/5000] 5.1s/img | ETA: 4.1h | Photos: 15018
  [ 3220/5000] 9.4s/img | ETA: 4.1h | Photos: 15065
  [ 3230/5000] 9.4s/img | ETA: 4.0h | Photos: 15112
  [ 3240/5000] 12.0s/img | ETA: 4.0h | Photos: 15159
  [ 3250/5000] 4.2s/img | ETA: 4.0h | Photos: 15206
  [ 3260/5000] 11.6s/img | ETA: 4.0h | Photos: 15254
  [ 3270/5000] 9.4s/img | ETA: 3.9h | Photos: 15302
  [ 3280/5000] 4.3s/img | ETA: 3.9h | Photos: 15347
  [ 3290/5000] 4.4s/img | ETA: 3.9h | Photos: 15392
  [ 3300/5000] 4.2s/img | ETA: 3.9h | Photos: 15439
  ✓ Checkpoint at 3300
  [ 3310/5000] 5.2s/img | ETA: 3.8h | Photos: 15486
  [ 3320/5000] 4.2s/img | ETA: 3.8h | Photos: 15530
  [ 3330/5000] 4.3s/img | ETA: 3.8h | Photos: 15576
  [ 3340/5000] 4.0s/img | ETA: 3.8h | Photos: 15623
  [ 3350/5000] 4.2s/img | ETA: 3.8h | Photos: 15671
  [ 3360/5000] 11.1s/img | ETA: 3.7h | Photos: 15720
  [ 3370/5000] 4.3s/img | ETA: 3.7h | Photos: 15766
  [ 3380/5000] 9.7s/img | ETA: 3.7h | Photos: 15808
  [ 3390/5000] 11.8s/img | ETA: 3.7h | Photos: 15857
  [ 3400/5000] 5.2s/img | ETA: 3.6h | Photos: 15903
  ✓ Checkpoint at 3400
